sample_id,lake_name,year,date_sampled,parameter,sample_location,value
2683,Rothenberger,2018,17-Jul-18,Surface Area (ha),Epilimnion,2.43
2711,Mississinewa Res.,2018,31-Jul-18,Surface Area (ha),Epilimnion,1286.95
2355,Canada,2015,13-Jul-15,Surface Area (ha),Epilimnion,4.05
2384,North Little,2015,27-Jul-15,Surface Area (ha),Epilimnion,4.86
2450,Rider,2016,6-Jul-16,Surface Area (ha),Epilimnion,2.02
2498,Banning,2016,1-Aug-16,Surface Area (ha),Epilimnion,4.86
2545,Webster,2017,26-Jun-17,Surface Area (ha),Epilimnion,313.24
2602,Golden,2017,31-Jul-17,Surface Area (ha),Epilimnion,48.16
2393,Grouse Ridge,2015,29-Jul-15,Surface Area (ha),Epilimnion,8.09
2441,Westler,2016,27-Jun-16,Surface Area (ha),Epilimnion,35.61
2461,Lake of the Woods,2016,12-Jul-16,Surface Area (ha),Epilimnion,168.36
2472,Spurgeon Hollow,2016,19-Jul-16,Surface Area (ha),Epilimnion,4.86
2488,Robinson,2016,26-Jul-16,Surface Area (ha),Epilimnion,23.88
2541,Rider,2017,21-Jun-17,Surface Area (ha),Epilimnion,2.02
2666,Thomas,2018,9-Jul-18,Surface Area (ha),Epilimnion,6.48
2444,Miller (Chain-O),2016,28-Jun-16,Surface Area (ha),Epilimnion,4.45
2451,Webster,2016,5-Jul-16,Surface Area (ha),Epilimnion,313.24
2495,Prairie Creek Reservoir,2016,3-Aug-16,Surface Area (ha),Epilimnion,492.12
2508,Ball,2016,8-Aug-16,Surface Area (ha),Epilimnion,35.21
2639,Duely,2018,26-Jun-18,Surface Area (ha),Epilimnion,8.5
2665,Kings,2018,9-Jul-18,Surface Area (ha),Epilimnion,7.69
2328,Shriner,2015,30-Jun-15,Surface Area (ha),Epilimnion,7.28
2336,Round,2015,30-Jun-15,Surface Area (ha),Epilimnion,53
2341,Hindman,2015,7-Jul-15,Surface Area (ha),Epilimnion,5.26
2456,Bear,2016,6-Jul-16,Surface Area (ha),Epilimnion,55.04
2523,Steinbarger,2016,16-Aug-16,Surface Area (ha),Epilimnion,29.54
2538,Story (Upper),2017,19-Jun-17,Surface Area (ha),Epilimnion,NA
2647,Port Mitchell,2018,26-Jun-18,Surface Area (ha),Epilimnion,6.07
2652,Prides Creek,2018,2-Jul-18,Surface Area (ha),Epilimnion,36.42
2352,Fish (Upper),2015,14-Jul-15,Surface Area (ha),Epilimnion,56.25
