sample_id,lake_name,lake_type,ecoregion_3,year,date_sampled,parameter,value
2509,Hamiliton,Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Secchi Depth (m),2.75
2542,Mongo Mill Pond,Natural Lake,MI-IN Till Plain,2017,21-Jun-17,Secchi Depth (m),1.2
2632,George,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),4.65
2658,Bobcat,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Secchi Depth (m),1.7
2689,Big Long,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Secchi Depth (m),3.6
2717,Redbud,Surface Mine Lake,Interior River Lowland,2018,7-Aug-18,Secchi Depth (m),NA
2718,Locust,Surface Mine Lake,Interior River Lowland,2018,7-Aug-18,Secchi Depth (m),3.2
2353,Hog,Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Secchi Depth (m),2.4
2361,Skunk,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),2.1
2377,Sycamore,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Secchi Depth (m),1
2578,Schlamm,Impoundment,Interior River,2017,17-Jul-17,Secchi Depth (m),1.4
2681,Latta,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Secchi Depth (m),1.2
2690,Dallas,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Secchi Depth (m),1.5
2335,Atwood,Impoundment,NA,2015,29-Jun-15,Secchi Depth (m),1.8
2379,Trimble,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Secchi Depth (m),1.5
2446,Tippecanoe,Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Secchi Depth (m),1.65
2473,Elk Creek #9,Impoundment,Interior River,2016,19-Jul-16,Secchi Depth (m),3.1
2539,Atwood,Natural Lake,MI-IN Till Plain,2017,19-Jun-17,Secchi Depth (m),2.4
2574,Bowen,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),2
2588,Snow,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Secchi Depth (m),2.4
2643,Silver,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),2.1
2659,Skunk,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Secchi Depth (m),2.3
2700,Clear,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Secchi Depth (m),3.1
2716,Spencer,Surface Mine Lake,Interior River Lowland,2018,6-Aug-18,Secchi Depth (m),2.5
2356,Long,Natural Lake,Central Corn Belt Plain,2015,13-Jul-15,Secchi Depth (m),2.1
2382,Center,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Secchi Depth (m),2.624
2458,Long,Natural Lake,Central Corn Belt Plain,2016,11-Jul-16,Secchi Depth (m),2.1
2485,Fletcher,Natural Lake,MI-IN Till Plain,2016,25-Jul-16,Secchi Depth (m),2.3
2499,Goldeneye,Impoundment,MI-IN Till Plain,2016,1-Aug-16,Secchi Depth (m),2.2
2604,Adams,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),2.2
2607,Kiser,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Secchi Depth (m),2.4
2634,Big Otter,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),2.6
2640,Gordy,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),3.2
2694,Big Chapman,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Secchi Depth (m),2
2332,Oliver,Natural Lake,MI-IN Till Plain,2015,29-Jun-15,Secchi Depth (m),1.7
2442,Dallas,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Secchi Depth (m),1.1
2454,Still,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Secchi Depth (m),1.35
2505,Bixler,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Secchi Depth (m),2.75
2547,Engle,Natural Lake,MI-IN Till Plain,2017,26-Jun-17,Secchi Depth (m),2.5
2553,Tipsaw,Impoundment,Interior River,2017,5-Jul-17,Secchi Depth (m),1.3
2642,Loon,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),1.9
2687,Brokesha,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Secchi Depth (m),3.2
2693,Tippecanoe,Natural Lake,MI-IN Till Plain,2018,24-Jul-18,Secchi Depth (m),2.5
2704,Fry,Surface Mine Lake,NA,2018,26-Jul-18,Secchi Depth (m),2.1
2331,Otter,Natural Lake,MI-IN Till Plain,2015,30-Jun-15,Secchi Depth (m),2
2370,Marsh,Natural Lake,MI-IN Till Plain,2015,20-Jul-15,Secchi Depth (m),2
2375,Redbud,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Secchi Depth (m),1.6
2449,Upper Long,Natural Lake,MI-IN Till Plain,2016,6-Jul-16,Secchi Depth (m),1.7
2514,Monroe (Lower),Impoundment,Interior River,2016,10-Aug-16,Secchi Depth (m),NA
2524,Simonton,Natural Lake,MI-IN Till Plain,2016,15-Aug-16,Secchi Depth (m),1.8
2544,Henry,Natural Lake,MI-IN Till Plain,2017,21-Jun-17,Secchi Depth (m),2.2
2561,Chapel Pit,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Secchi Depth (m),1.9
2589,Pleasant,Natural Lake,MI-IN Till Plain,2017,24-Jul-17,Secchi Depth (m),1.7
2601,Otter,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),1.5
2608,Big Chapman,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Secchi Depth (m),1.9
2611,Mill Pond,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Secchi Depth (m),1.6
2337,Big Turkey,Natural Lake,MI-IN Till Plain,2015,29-Jun-15,Secchi Depth (m),1.9
2367,Goldeneye,Impoundment,MI-IN Till Plain,2015,21-Jul-15,Secchi Depth (m),2.2
2483,Skunk,Surface Mine Lake,Interior River Lowland,2016,27-Jul-16,Secchi Depth (m),2.1
2501,Nauvoo,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Secchi Depth (m),1.7
2521,Diamond,Natural Lake,MI-IN Till Plain,2016,16-Aug-16,Secchi Depth (m),1.75
2540,Westler,Natural Lake,MI-IN Till Plain,2017,19-Jun-17,Secchi Depth (m),2.65
2613,Hartz,Natural Lake,MI-IN Till Plain,2017,8-Aug-17,Secchi Depth (m),2.7
2615,Mansfield Reservoir (Hardin),Impoundment,Interior River Lowland,2017,8-Aug-17,Secchi Depth (m),0.8
2672,Canada,Natural Lake,Central Corn Belt Plain,2018,10-Jul-18,Secchi Depth (m),6.7
2684,Upper Long,Natural Lake,MI-IN Till Plain,2018,17-Jul-18,Secchi Depth (m),1.2
2691,Syracuse,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Secchi Depth (m),2.5
2715,Stump Jumper,Surface Mine Lake,Interior River Lowland,2018,31-Jul-18,Secchi Depth (m),3.2
2345,Loon,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Secchi Depth (m),5.904
2351,Fish (Lower),Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Secchi Depth (m),0.9
2357,Clear (LaPorte),Natural Lake,MI-IN Till Plain,2015,13-Jul-15,Secchi Depth (m),1
2364,Hackberry,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),3.6
2579,Starve Hollow,Impoundment,Eastern Corn Belt Plain,2017,17-Jul-17,Secchi Depth (m),1.3
2638,Engle,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),2
2649,Knapp,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),2.1
2657,Fox,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Secchi Depth (m),1.1
2347,Big Otter,Natural Lake,MI-IN Till Plain,2015,7-Jul-15,Secchi Depth (m),1.6
2448,Hoffman,Natural Lake,MI-IN Till Plain,2016,6-Jul-16,Secchi Depth (m),1.45
2465,Lower Fry,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Secchi Depth (m),1.75
2507,Story (Upper),Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Secchi Depth (m),1.65
2586,Trout,Surface Mine Lake,Interior River Lowland,2017,19-Jul-17,Secchi Depth (m),1.8
2620,Brookville,Impoundment,Eastern Corn Belt Plain,2017,15-Aug-17,Secchi Depth (m),2.6
2635,Little Otter,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),2.1
2674,Loomis,Natural Lake,Central Corn Belt Plain,2018,10-Jul-18,Secchi Depth (m),1.9
2349,Hartz,Natural Lake,MI-IN Till Plain,2015,14-Jul-15,Secchi Depth (m),1.3
2383,James,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Secchi Depth (m),NA
2543,Big Turkey,Natural Lake,MI-IN Till Plain,2017,21-Jun-17,Secchi Depth (m),2.4
2683,Rothenberger,Natural Lake,MI-IN Till Plain,2018,17-Jul-18,Secchi Depth (m),2.2
2711,Mississinewa Res.,Impoundment,Eastern Corn Belt Plain,2018,31-Jul-18,Secchi Depth (m),1.2
2355,Canada,Natural Lake,Central Corn Belt Plain,2015,13-Jul-15,Secchi Depth (m),1.4
2384,North Little,Natural Lake,MI-IN Till Plain,2015,27-Jul-15,Secchi Depth (m),1.4
2450,Rider,Natural Lake,MI-IN Till Plain,2016,6-Jul-16,Secchi Depth (m),1.5
2498,Banning,Natural Lake,MI-IN Till Plain,2016,1-Aug-16,Secchi Depth (m),1.7
2545,Webster,Natural Lake,MI-IN Till Plain,2017,26-Jun-17,Secchi Depth (m),2.2
2602,Golden,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),19
2393,Grouse Ridge,Impoundment,Eastern Corn Belt Plain,2015,29-Jul-15,Secchi Depth (m),1.4
2441,Westler,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Secchi Depth (m),0.95
2461,Lake of the Woods,Natural Lake,MI-IN Till Plain,2016,12-Jul-16,Secchi Depth (m),2.1
2472,Spurgeon Hollow,Impoundment,Interior River,2016,19-Jul-16,Secchi Depth (m),1.4
2488,Robinson,Natural Lake,MI-IN Till Plain,2016,26-Jul-16,Secchi Depth (m),1.05
2541,Rider,Natural Lake,MI-IN Till Plain,2017,21-Jun-17,Secchi Depth (m),1.8
2666,Thomas,Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Secchi Depth (m),1.3
2444,Miller (Chain-O),Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Secchi Depth (m),1.75
2451,Webster,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Secchi Depth (m),1.35
2495,Prairie Creek Reservoir,Impoundment,Eastern Corn Belt Plain,2016,3-Aug-16,Secchi Depth (m),1.25
2508,Ball,Natural Lake,MI-IN Till Plain,2016,8-Aug-16,Secchi Depth (m),0.95
2639,Duely,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),2.1
2665,Kings,Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Secchi Depth (m),1.2
2328,Shriner,Natural Lake,MI-IN Till Plain,2015,30-Jun-15,Secchi Depth (m),2.5
2336,Round,Natural Lake,MI-IN Till Plain,2015,30-Jun-15,Secchi Depth (m),1.5
2341,Hindman,Natural Lake,MI-IN Till Plain,2015,7-Jul-15,Secchi Depth (m),1.8
2456,Bear,Natural Lake,MI-IN Till Plain,2016,6-Jul-16,Secchi Depth (m),1.8
2523,Steinbarger,Natural Lake,MI-IN Till Plain,2016,16-Aug-16,Secchi Depth (m),1.15
