sample_id,lake_name,ecoregion_3,year,date_sampled,parameter,sample_location,value
2634,Big Otter,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,27.92
2640,Gordy,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,12.55
2694,Big Chapman,MI-IN Till Plain,2018,24-Jul-18,Surface Area (ha),Average,167.55
2332,Oliver,MI-IN Till Plain,2015,29-Jun-15,Surface Area (ha),Average,150.14
2442,Dallas,MI-IN Till Plain,2016,27-Jun-16,Surface Area (ha),Average,114.53
2454,Still,MI-IN Till Plain,2016,5-Jul-16,Surface Area (ha),Average,12.14
2505,Bixler,MI-IN Till Plain,2016,2-Aug-16,Surface Area (ha),Average,47.35
2547,Engle,MI-IN Till Plain,2017,26-Jun-17,Surface Area (ha),Average,19.43
2553,Tipsaw,Interior River,2017,5-Jul-17,Surface Area (ha),Average,574
2642,Loon,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,55.85
2687,Brokesha,MI-IN Till Plain,2018,23-Jul-18,Surface Area (ha),Average,14.57
2693,Tippecanoe,MI-IN Till Plain,2018,24-Jul-18,Surface Area (ha),Average,286.12
2704,Fry,NA,2018,26-Jul-18,Surface Area (ha),Average,1.62
2331,Otter,MI-IN Till Plain,2015,30-Jun-15,Surface Area (ha),Average,47.75
2370,Marsh,MI-IN Till Plain,2015,20-Jul-15,Surface Area (ha),Average,22.66
2375,Redbud,Interior River Lowland,2015,22-Jul-15,Surface Area (ha),Average,1.62
2449,Upper Long,MI-IN Till Plain,2016,6-Jul-16,Surface Area (ha),Average,34.8
2514,Monroe (Lower),Interior River,2016,10-Aug-16,Surface Area (ha),Average,4353.75
2524,Simonton,MI-IN Till Plain,2016,15-Aug-16,Surface Area (ha),Average,114.13
2544,Henry,MI-IN Till Plain,2017,21-Jun-17,Surface Area (ha),Average,8.09
2561,Chapel Pit,Interior River Lowland,2017,11-Jul-17,Surface Area (ha),Average,1.21
2589,Pleasant,MI-IN Till Plain,2017,24-Jul-17,Surface Area (ha),Average,171.59
2601,Otter,MI-IN Till Plain,2017,31-Jul-17,Surface Area (ha),Average,47.75
2608,Big Chapman,MI-IN Till Plain,2017,7-Aug-17,Surface Area (ha),Average,167.55
2611,Mill Pond,MI-IN Till Plain,2017,7-Aug-17,Surface Area (ha),Average,52.2
2337,Big Turkey,MI-IN Till Plain,2015,29-Jun-15,Surface Area (ha),Average,182.12
2367,Goldeneye,MI-IN Till Plain,2015,21-Jul-15,Surface Area (ha),Average,8.09
2483,Skunk,Interior River Lowland,2016,27-Jul-16,Surface Area (ha),Average,0.3
2501,Nauvoo,MI-IN Till Plain,2016,2-Aug-16,Surface Area (ha),Average,15.38
2521,Diamond,MI-IN Till Plain,2016,16-Aug-16,Surface Area (ha),Average,42.49
2540,Westler,MI-IN Till Plain,2017,19-Jun-17,Surface Area (ha),Average,35.61
2613,Hartz,MI-IN Till Plain,2017,8-Aug-17,Surface Area (ha),Average,11.33
2615,Mansfield Reservoir (Hardin),Interior River Lowland,2017,8-Aug-17,Surface Area (ha),Average,833.68
2672,Canada,Central Corn Belt Plain,2018,10-Jul-18,Surface Area (ha),Average,4.05
2684,Upper Long,MI-IN Till Plain,2018,17-Jul-18,Surface Area (ha),Average,34.8
2691,Syracuse,MI-IN Till Plain,2018,23-Jul-18,Surface Area (ha),Average,228.25
2715,Stump Jumper,Interior River Lowland,2018,31-Jul-18,Surface Area (ha),Average,2.39
2345,Loon,MI-IN Till Plain,2015,6-Jul-15,Surface Area (ha),Average,55.85
2351,Fish (Lower),MI-IN Till Plain,2015,14-Jul-15,Surface Area (ha),Average,54.23
2357,Clear (LaPorte),MI-IN Till Plain,2015,13-Jul-15,Surface Area (ha),Average,42.9
2364,Hackberry,Interior River Lowland,2015,15-Jul-15,Surface Area (ha),Average,2.02
2579,Starve Hollow,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,58.68
2638,Engle,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,19.43
2649,Knapp,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,35.61
2657,Fox,Interior River Lowland,2018,3-Jul-18,Surface Area (ha),Average,NA
2347,Big Otter,MI-IN Till Plain,2015,7-Jul-15,Surface Area (ha),Average,27.92
2448,Hoffman,MI-IN Till Plain,2016,6-Jul-16,Surface Area (ha),Average,75.68
2465,Lower Fry,Interior River Lowland,2016,20-Jul-16,Surface Area (ha),Average,1.62
2507,Story (Upper),MI-IN Till Plain,2016,8-Aug-16,Surface Area (ha),Average,NA
2586,Trout,Interior River Lowland,2017,19-Jul-17,Surface Area (ha),Average,2.02
2620,Brookville,Eastern Corn Belt Plain,2017,15-Aug-17,Surface Area (ha),Average,2128.72
2635,Little Otter,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,13.76
2674,Loomis,Central Corn Belt Plain,2018,10-Jul-18,Surface Area (ha),Average,25.09
2349,Hartz,MI-IN Till Plain,2015,14-Jul-15,Surface Area (ha),Average,11.33
2383,James,MI-IN Till Plain,2015,28-Jul-15,Surface Area (ha),Average,108.05
2543,Big Turkey,MI-IN Till Plain,2017,21-Jun-17,Surface Area (ha),Average,182.12
2683,Rothenberger,MI-IN Till Plain,2018,17-Jul-18,Surface Area (ha),Average,2.43
2711,Mississinewa Res.,Eastern Corn Belt Plain,2018,31-Jul-18,Surface Area (ha),Average,1286.95
2355,Canada,Central Corn Belt Plain,2015,13-Jul-15,Surface Area (ha),Average,4.05
2384,North Little,MI-IN Till Plain,2015,27-Jul-15,Surface Area (ha),Average,4.86
2450,Rider,MI-IN Till Plain,2016,6-Jul-16,Surface Area (ha),Average,2.02
2498,Banning,MI-IN Till Plain,2016,1-Aug-16,Surface Area (ha),Average,4.86
2545,Webster,MI-IN Till Plain,2017,26-Jun-17,Surface Area (ha),Average,313.24
2602,Golden,MI-IN Till Plain,2017,31-Jul-17,Surface Area (ha),Average,48.16
2393,Grouse Ridge,Eastern Corn Belt Plain,2015,29-Jul-15,Surface Area (ha),Average,8.09
2441,Westler,MI-IN Till Plain,2016,27-Jun-16,Surface Area (ha),Average,35.61
2461,Lake of the Woods,MI-IN Till Plain,2016,12-Jul-16,Surface Area (ha),Average,168.36
2472,Spurgeon Hollow,Interior River,2016,19-Jul-16,Surface Area (ha),Average,4.86
2488,Robinson,MI-IN Till Plain,2016,26-Jul-16,Surface Area (ha),Average,23.88
2541,Rider,MI-IN Till Plain,2017,21-Jun-17,Surface Area (ha),Average,2.02
2666,Thomas,MI-IN Till Plain,2018,9-Jul-18,Surface Area (ha),Average,6.48
2444,Miller (Chain-O),MI-IN Till Plain,2016,28-Jun-16,Surface Area (ha),Average,4.45
2451,Webster,MI-IN Till Plain,2016,5-Jul-16,Surface Area (ha),Average,313.24
2495,Prairie Creek Reservoir,Eastern Corn Belt Plain,2016,3-Aug-16,Surface Area (ha),Average,492.12
2508,Ball,MI-IN Till Plain,2016,8-Aug-16,Surface Area (ha),Average,35.21
2639,Duely,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,8.5
2665,Kings,MI-IN Till Plain,2018,9-Jul-18,Surface Area (ha),Average,7.69
2328,Shriner,MI-IN Till Plain,2015,30-Jun-15,Surface Area (ha),Average,7.28
2336,Round,MI-IN Till Plain,2015,30-Jun-15,Surface Area (ha),Average,53
2341,Hindman,MI-IN Till Plain,2015,7-Jul-15,Surface Area (ha),Average,5.26
2456,Bear,MI-IN Till Plain,2016,6-Jul-16,Surface Area (ha),Average,55.04
2523,Steinbarger,MI-IN Till Plain,2016,16-Aug-16,Surface Area (ha),Average,29.54
2538,Story (Upper),MI-IN Till Plain,2017,19-Jun-17,Surface Area (ha),Average,NA
2647,Port Mitchell,MI-IN Till Plain,2018,26-Jun-18,Surface Area (ha),Average,6.07
2652,Prides Creek,Interior River Lowland,2018,2-Jul-18,Surface Area (ha),Average,36.42
2352,Fish (Upper),MI-IN Till Plain,2015,14-Jul-15,Surface Area (ha),Average,56.25
2372,Nauvoo,MI-IN Till Plain,2015,20-Jul-15,Surface Area (ha),Average,15.38
2515,University,Interior River,2016,10-Aug-16,Surface Area (ha),Average,3.24
2577,Oak,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,0.81
2580,Crosley,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,5.67
2597,Sylvan,MI-IN Till Plain,2017,11-Jul-17,Surface Area (ha),Average,254.96
2636,Golden,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,48.16
2644,Hogback,MI-IN Till Plain,2018,25-Jun-18,Surface Area (ha),Average,59.09
2680,Nauvoo,MI-IN Till Plain,2018,16-Jul-18,Surface Area (ha),Average,15.38
2386,Prairie Creek Reservoir,Eastern Corn Belt Plain,2015,27-Jul-15,Surface Area (ha),Average,492.12
2494,Eagle Creek Reservoir,Eastern Corn Belt Plain,2016,3-Aug-16,Surface Area (ha),Average,611.1
2655,Scales,Interior River Lowland,2018,2-Jul-18,Surface Area (ha),Average,26.71
2692,Webster,MI-IN Till Plain,2018,24-Jul-18,Surface Area (ha),Average,313.24
2329,Crane,MI-IN Till Plain,2015,30-Jun-15,Surface Area (ha),Average,11.33
2333,Martin,MI-IN Till Plain,2015,29-Jun-15,Surface Area (ha),Average,10.52
2490,Sawmill,MI-IN Till Plain,2016,26-Jul-16,Surface Area (ha),Average,10.93
2614,Mississinewa Reservoir,Eastern Corn Belt Plain,2017,8-Aug-17,Surface Area (ha),Average,1286.95
2401,Geist Reservoir,Eastern Corn Belt Plain,2015,5-Aug-15,Surface Area (ha),Average,728.46
2416,Manitou,MI-IN Till Plain,2015,10-Aug-15,Surface Area (ha),Average,288.55
2476,Ferdinand City Old,Interior River Lowland,2016,18-Jul-16,Surface Area (ha),Average,6.07
2573,Miller (Chain-O),MI-IN Till Plain,2017,17-Jul-17,Surface Area (ha),Average,4.45
2575,Dock,MI-IN Till Plain,2017,17-Jul-17,Surface Area (ha),Average,6.48
2592,Steinbarger,MI-IN Till Plain,2017,24-Jul-17,Surface Area (ha),Average,29.54
2710,Prarie Creek Res.,Eastern Corn Belt Plain,2018,30-Jul-18,Surface Area (ha),Average,492.12
2334,Bear,MI-IN Till Plain,2015,29-Jun-15,Surface Area (ha),Average,55.04
2343,Royer,MI-IN Till Plain,2015,6-Jul-15,Surface Area (ha),Average,27.92
2462,Gilbert,Central Corn Belt Plain,2016,12-Jul-16,Surface Area (ha),Average,14.16
2581,Versailles,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,93.08
2582,Molenkramer Res,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,37.64
2609,Sawmill,MI-IN Till Plain,2017,7-Aug-17,Surface Area (ha),Average,10.93
2685,Sand,MI-IN Till Plain,2018,17-Jul-18,Surface Area (ha),Average,19.02
2699,Shakamak,Interior River Lowland,2018,26-Jul-18,Surface Area (ha),Average,22.66
2520,Bartley,MI-IN Till Plain,2016,16-Aug-16,Surface Area (ha),Average,13.76
2583,Bischoff Res.,Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,80.94
2585,Woods (Big Blue #3),Eastern Corn Belt Plain,2017,17-Jul-17,Surface Area (ha),Average,17.81
2590,Nasby Mill Pond,MI-IN Till Plain,2017,24-Jul-17,Surface Area (ha),Average,14.16
2669,Potato Cr. (Worster),MI-IN Till Plain,2018,9-Jul-18,Surface Area (ha),Average,132.34
2695,Little Chapman,MI-IN Till Plain,2018,24-Jul-18,Surface Area (ha),Average,48.56
2706,Starve Hollow,Eastern Corn Belt Plain,2018,30-Jul-18,Surface Area (ha),Average,58.68
2709,Middlefork Res.,Eastern Corn Belt Plain,2018,30-Jul-18,Surface Area (ha),Average,112.1
2376,Red Pine,Interior River Lowland,2015,22-Jul-15,Surface Area (ha),Average,1.62
2419,Cagles Mill (Cataract),Interior River,2015,11-Aug-15,Surface Area (ha),Average,566.58
2471,Brush Creek Reservoir,Eastern Corn Belt Plain,2016,19-Jul-16,Surface Area (ha),Average,67.58
2486,Shaffer,MI-IN Till Plain,2016,25-Jul-16,Surface Area (ha),Average,522.47
2487,Freeman,Eastern Corn Belt Plain,2016,25-Jul-16,Surface Area (ha),Average,626.07
2373,Ridinger,MI-IN Till Plain,2015,21-Jul-15,Surface Area (ha),Average,55.04
2387,St. Joseph Reservoir,Eastern Corn Belt Plain,2015,27-Jul-15,Surface Area (ha),Average,12.14
2418,Mansfield Reservoir (Hardin),Interior River Lowland,2015,11-Aug-15,Surface Area (ha),Average,833.68
2457,Wolf,Central Corn Belt Plain,2016,11-Jul-16,Surface Area (ha),Average,155.81
2519,Crane,MI-IN Till Plain,2016,16-Aug-16,Surface Area (ha),Average,11.33
